mel	output	text
mels/reagan_1984_6_6_098.pt	reagan_1984_6_6_098.wav	We want a wipe from the face of the earth, the terrible weapons that man now has in his hands.
mels/reagan_1984_21_10_212.pt	reagan_1984_21_10_212.wav	George Bush and I have crossed the country and we've had in these last few months a wonderful experience.
mels/reagan_1984_7_10_174.pt	reagan_1984_7_10_174.wav	We found people making 185% of the poverty level were getting government benefits.
mels/reagan_1984_21_10_112.pt	reagan_1984_21_10_112.wav	I think there's a great difference between the government of Iran threatening our diplomatic personnel.
mels/reagan_1984_6_6_034.pt	reagan_1984_6_6_034.wav	Lord Love it of Scotland who calmly announced when he got to the bridge.
mels/reagan_1984_21_10_001.pt	reagan_1984_21_10_001.wav	no hood,
mels/reagan_1984_6_6_114.pt	reagan_1984_6_6_114.wav	Thank you very much and God bless you all.
mels/reagan_1984_7_10_028.pt	reagan_1984_7_10_028.wav	So there is no ratio between taxing and balancing a budget.
mels/reagan_1984_21_10_120.pt	reagan_1984_21_10_120.wav	And it's going to take all the nations together just as when we banded together, we pretty much resolved the whole problem of hijack, sky jackings some time ago.
mels/reagan_1984_21_10_201.pt	reagan_1984_21_10_201.wav	We know nothing about them.
mels/reagan_1984_6_6_111.pt	reagan_1984_6_6_111.wav	Let our actions say to them the words for which Matthew, Ridgeway listened,
mels/reagan_1984_7_10_003.pt	reagan_1984_7_10_003.wav	Already, we have a new recovery that has been going on for about 21 months to the point that we can now call an expansion.
mels/reagan_1984_7_10_018.pt	reagan_1984_7_10_018.wav	If the rate of increase in government spending can be held at 5 percent, we're not far from there.
mels/reagan_1984_7_10_110.pt	reagan_1984_7_10_110.wav	We find that schools are extending the curriculum to now have forced teaching of mathematics and science and so forth.
